timestamp,name,category,confidence,distance_m,risk,x1,y1,x2,y2
2026-02-21T13:06:01.992,person,human,0.780,3.12,danger,0,151,142,711
2026-02-21T13:06:02.147,person,human,0.889,2.62,danger,135,44,1280,711
2026-02-21T13:06:02.147,person,human,0.855,3.12,danger,0,150,149,711
2026-02-21T13:06:02.326,person,human,0.886,2.53,danger,154,19,1278,711
2026-02-21T13:06:02.326,person,human,0.867,3.02,danger,0,130,157,710
2026-02-21T13:06:02.481,person,human,0.844,2.46,danger,126,0,1249,710
2026-02-21T13:06:02.481,person,human,0.884,2.8,danger,0,85,167,711
2026-02-21T13:06:02.657,person,human,0.865,2.46,danger,180,0,1280,711
2026-02-21T13:06:02.657,person,human,0.847,2.81,danger,0,90,196,713
2026-02-21T13:06:02.823,person,human,0.906,2.48,danger,183,2,1278,709
2026-02-21T13:06:02.823,person,human,0.835,2.8,danger,0,85,236,711
2026-02-21T13:06:02.989,person,human,0.888,2.46,danger,209,0,1278,710
2026-02-21T13:06:02.989,person,human,0.871,2.91,danger,0,110,233,711
2026-02-21T13:06:03.159,person,human,0.885,2.46,danger,221,1,1228,711
2026-02-21T13:06:03.159,person,human,0.886,2.97,danger,0,122,233,712
2026-02-21T13:06:03.334,person,human,0.876,2.48,danger,218,5,1272,711
2026-02-21T13:06:03.334,person,human,0.821,3.0,danger,1,129,233,712
2026-02-21T13:06:03.483,person,human,0.848,2.48,danger,214,3,1255,710
2026-02-21T13:06:03.483,person,human,0.894,2.97,danger,0,122,234,711
2026-02-21T13:06:03.656,person,human,0.891,2.48,danger,191,5,1273,711
2026-02-21T13:06:03.656,person,human,0.890,2.95,danger,0,119,233,712
2026-02-21T13:06:03.820,person,human,0.904,2.48,danger,198,5,1275,711
2026-02-21T13:06:03.820,person,human,0.873,2.98,danger,0,124,231,711
2026-02-21T13:06:03.985,person,human,0.908,2.48,danger,210,4,1274,711
2026-02-21T13:06:03.985,person,human,0.882,2.95,danger,0,118,231,711
2026-02-21T13:06:04.160,person,human,0.912,2.47,danger,213,2,1277,711
2026-02-21T13:06:04.160,person,human,0.908,2.96,danger,0,118,231,710
2026-02-21T13:06:04.311,person,human,0.901,2.47,danger,217,2,1277,711
2026-02-21T13:06:04.311,person,human,0.903,2.96,danger,1,119,230,710
2026-02-21T13:06:04.456,person,human,0.917,2.46,danger,221,1,1276,711
2026-02-21T13:06:04.456,person,human,0.893,2.97,danger,1,120,231,710
2026-02-21T13:06:04.623,person,human,0.911,2.48,danger,213,6,1276,711
2026-02-21T13:06:04.623,person,human,0.870,2.95,danger,1,117,231,710
2026-02-21T13:06:04.790,person,human,0.910,2.5,danger,224,12,1276,711
2026-02-21T13:06:04.790,person,human,0.889,2.96,danger,1,118,230,710
2026-02-21T13:06:04.954,person,human,0.909,2.5,danger,227,11,1274,712
2026-02-21T13:06:04.954,person,human,0.899,2.96,danger,0,118,229,710
2026-02-21T13:06:05.119,person,human,0.921,2.51,danger,220,14,1271,712
2026-02-21T13:06:05.119,person,human,0.885,2.96,danger,0,118,228,710
2026-02-21T13:06:05.293,person,human,0.911,2.5,danger,216,13,1270,712
2026-02-21T13:06:05.293,person,human,0.886,2.97,danger,0,119,226,709
2026-02-21T13:06:05.456,person,human,0.913,2.5,danger,223,12,1274,713
2026-02-21T13:06:05.457,person,human,0.866,2.96,danger,0,118,226,710
2026-02-21T13:06:05.620,person,human,0.921,2.5,danger,228,12,1275,712
2026-02-21T13:06:05.620,person,human,0.888,2.97,danger,0,121,226,710
2026-02-21T13:06:05.786,person,human,0.917,2.5,danger,228,12,1276,712
2026-02-21T13:06:05.786,person,human,0.883,2.96,danger,1,118,225,710
2026-02-21T13:06:05.954,person,human,0.921,2.5,danger,224,11,1275,712
2026-02-21T13:06:05.954,person,human,0.872,2.95,danger,0,117,227,710
2026-02-21T13:06:06.120,person,human,0.910,2.5,danger,226,12,1276,712
2026-02-21T13:06:06.120,person,human,0.884,2.95,danger,1,117,227,710
2026-02-21T13:06:06.285,person,human,0.917,2.5,danger,230,12,1275,712
2026-02-21T13:06:06.285,person,human,0.884,2.96,danger,0,119,226,710
2026-02-21T13:06:06.459,person,human,0.913,2.5,danger,226,12,1275,712
2026-02-21T13:06:06.459,person,human,0.876,2.95,danger,0,117,228,710
2026-02-21T13:06:06.619,person,human,0.902,2.5,danger,225,12,1277,711
2026-02-21T13:06:06.619,person,human,0.878,2.96,danger,1,119,228,710
2026-02-21T13:06:06.783,person,human,0.907,2.5,danger,217,11,1275,712
2026-02-21T13:06:06.784,person,human,0.861,2.94,danger,0,114,228,710
2026-02-21T13:06:06.954,person,human,0.914,2.48,danger,226,7,1276,712
2026-02-21T13:06:06.954,person,human,0.865,2.93,danger,0,113,229,710
2026-02-21T13:06:07.129,person,human,0.913,2.48,danger,223,6,1271,712
2026-02-21T13:06:07.129,person,human,0.853,2.94,danger,1,114,230,710
2026-02-21T13:06:07.292,person,human,0.925,2.49,danger,224,7,1280,711
2026-02-21T13:06:07.292,person,human,0.890,2.94,danger,0,115,231,710
2026-02-21T13:06:07.462,person,human,0.928,2.48,danger,224,5,1277,712
2026-02-21T13:06:07.462,person,human,0.856,2.94,danger,0,114,231,710
2026-02-21T13:06:07.617,person,human,0.920,2.48,danger,225,6,1279,711
2026-02-21T13:06:07.617,person,human,0.868,2.96,danger,0,119,232,710
2026-02-21T13:06:07.786,person,human,0.931,2.46,danger,213,2,1277,712
2026-02-21T13:06:07.786,person,human,0.867,2.93,danger,1,113,230,710
2026-02-21T13:06:07.950,person,human,0.918,2.48,danger,225,3,1277,710
2026-02-21T13:06:07.950,person,human,0.863,2.94,danger,1,116,230,711
2026-02-21T13:06:08.117,person,human,0.928,2.48,danger,213,7,1277,713
2026-02-21T13:06:08.117,person,human,0.870,2.95,danger,0,117,231,710
2026-02-21T13:06:08.287,person,human,0.932,2.48,danger,206,6,1277,712
2026-02-21T13:06:08.288,person,human,0.840,2.95,danger,1,116,232,710
2026-02-21T13:06:08.460,person,human,0.926,2.48,danger,211,7,1277,712
2026-02-21T13:06:08.460,person,human,0.832,2.95,danger,0,116,233,710
2026-02-21T13:06:08.625,person,human,0.918,2.48,danger,211,7,1277,713
2026-02-21T13:06:08.625,person,human,0.874,2.94,danger,0,115,231,710
